"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Gebäude 01-Dachfläche Süd: Sonnenhöhe ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die geneigte Fläche ";"Gebäude 01-Dachfläche Süd: Modultemperatur ";"Strom (AC) Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)  ";"Leerlaufspannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"MPP-Spannung (MPP 1, Wechselrichter 1 (SolarEdge SE10K-RWS-EU-APAC/AUS)) ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Eigenverbrauch ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"Gebäude 01-Dachfläche Süd: Globalstrahlung horizontal ";"Gebäude 01-Dachfläche Süd: Verluste durch Abweichung vom Standardspektrum ";"Gebäude 01-Dachfläche Süd: Verluste durch Bodenreflexion (Albedo) ";"Gebäude 01-Dachfläche Süd: Gewinne durch Ausrichtung und Neigung der Modulebene ";"Gebäude 01-Dachfläche Süd: Verluste durch Abschattung ";"Gebäude 01-Dachfläche Süd: Reflexion an Moduloberfläche ";"Gebäude 01-Dachfläche Süd: Einstrahlung auf die Modul-Rückseite ";"Gebäude 01-Dachfläche Süd: Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Globalstrahlung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Bifazialität ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Verschmutzung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch STC Konversion (Modul-Nennwirkungsgrad) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV Nennenergie ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Modulspezifische Teilabschattung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Schwachlichtverhalten ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung von der Nenn-Modultemperatur ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Dioden ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Herstellerangaben) ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) *";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Unterschreitung der DC-Startleistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen MPP-Spannungsbereich ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Strom ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. DC-Leistung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Abregelung wegen max. AC-Leistung/cos phi ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: Verluste durch MPP Anpassung ";"Wechselrichter 1 - MPP 1 - an Gebäude 01-Dachfläche Süd: PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Energie am WR-Eingang ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch Abweichung der Eingangs- von der Nennspannung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Verluste durch DC/AC-Wandlung ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eigenverbrauch (Standby oder Nacht) ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Kabelverluste Gesamt ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: PV-Energie (AC) abzgl. Standby-Verbrauch ";"Wechselrichter 1 an Gebäude 01-Dachfläche Süd: Eingespeiste Energie ";
08.10. 00:00;0;0;11,79;-44,739;0;11,84;-0,01087;0;0;0;0,01864;0,01614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 01:00;0;0;11,03;-42,461;0;11,09;-0,01087;0;0;0;0,018733;0,016233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 02:00;0;0;10,27;-37,262;0;10,33;-0,01087;0;0;0;0,018636;0,016136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 03:00;0;0;9,86;-29,983;0;9,89;-0,01087;0;0;0;0,16653;0,16403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 04:00;0;0;9,45;-21,416;0;9,48;-0,01087;0;0;0;0,018753;0,016253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 05:00;0;0;9,16;-12,17;0;9,18;-0,01087;0;0;0;0,018635;0,016135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 06:00;0,00022;0,0002178;9,1;-2,7106;0,00020204;9,1;-0,01087;0;0;0;0,20734;0,20484;0;0;0,00022;-2,2E-06;3,9389E-06;-1,9694E-05;0;0;0;0,00020204;0,00022;-2,2E-06;3,9389E-06;-1,9694E-05;0;0;0;0,00020204;0,009469;0;0;-0,0074323;0,0020367;-0,0020367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009469;0;0;-0,0074323;0,0020367;0;-0,0020367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 07:00;0,08268;0,02748;10,61;6,5623;0,17419;14,88;7,5702;1440;771,54;1,4155;0;0,32563;0;0,32563;0,08268;-0,0008268;0,0014803;0,09086;0;0;0;0,17419;0,08268;-0,0008268;0,0014803;0,09086;0;0;0;0,17419;8,1637;0;0;-6,4077;1,756;-0,010477;0;0,053007;0;0;0;-0,0089926;1,7895;0;0;0;0;0;0;1,7895;8,1637;0;0;-6,4077;1,756;0;-0,010477;0,053007;0;0;0;-0,0089926;1,7895;0;0;0;0;0;0;1,7895;1,7895;0;-0,048371;0;0;1,7412;1,7412;1,7895;0;-0,048371;0;0;1,7412;1,7412;
08.10. 08:00;0,24133;0,042974;13,1;15,242;0,44153;24,31;19,191;1440;764,94;4,1123;0;0,30165;0;0,30165;0,24133;-0,0024133;0,0043208;0,19829;0;0;0;0,44153;0,24133;-0,0024133;0,0043208;0,19829;0;0;0;0,44153;20,693;0;0;-16,242;4,4509;0,067508;0;0,0093558;0;0;0;-0,022639;4,5051;0;0;0;0;0;0;4,5051;20,693;0;0;-16,242;4,4509;0;0,067508;0,0093558;0;0;0;-0,022639;4,5051;0;0;0;0;0;0;4,5051;4,5051;0;-0,09116;0;0;4,4139;4,4139;4,5051;0;-0,09116;0;0;4,4139;4,4139;
08.10. 09:00;0,22225;0,17444;14,13;22,857;0,26037;21,38;11,299;1440;764,7;2,5592;0;0,039587;0;0,039587;0,22225;-0,0022225;0,0039792;0,036365;0;0;0;0,26037;0,22225;-0,0022225;0,0039792;0,036365;0;0;0;0,26037;12,203;0;0;-9,5778;2,6247;0,017363;0;0,028686;0;0;0;-0,013354;2,6574;0;0;0;0;0;0;2,6574;12,203;0;0;-9,5778;2,6247;0;0,017363;0,028686;0;0;0;-0,013354;2,6574;0;0;0;0;0;0;2,6574;2,6574;0;-0,058617;0;0;2,5988;2,5988;2,6574;0;-0,058617;0;0;2,5988;2,5988;
08.10. 10:00;0,24489;0,21104;14,89;28,837;0,26094;21,9;11,306;1440;763,32;2,5842;0;0,016213;0;0,016213;0,24489;-0,0024489;0,0043845;0,014118;0;0;0;0,26094;0,24489;-0,0024489;0,0043845;0,014118;0;0;0;0,26094;12,229;0;0;-9,5989;2,6305;0,017295;0;0,024651;0;0;0;-0,013362;2,6591;0;0;0;0;0;0;2,6591;12,229;0;0;-9,5989;2,6305;0;0,017295;0,024651;0;0;0;-0,013362;2,6591;0;0;0;0;0;0;2,6591;2,6591;0;-0,058638;0;0;2,6004;2,6004;2,6591;0;-0,058638;0;0;2,6004;2,6004;
08.10. 11:00;0,21305;0,20011;15,22;32,56;0,20717;20,89;8,9218;1440;760,05;2,0358;0;0,016247;0;0,016247;0,21305;-0,0021305;0,0038144;-0,0075646;0;0;0;0,20717;0,21305;-0,0021305;0,0038144;-0,0075646;0;0;0;0,20717;9,7092;0;0;-7,6208;2,0884;-0,0012868;0;0,025737;0;0;0;-0,010564;2,1023;0;0;0;0;0;0;2,1023;9,7092;0;0;-7,6208;2,0884;0;-0,0012868;0,025737;0;0;0;-0,010564;2,1023;0;0;0;0;0;0;2,1023;2,1023;0;-0,050282;0;0;2,052;2,052;2,1023;0;-0,050282;0;0;2,052;2,052;
08.10. 12:00;0,16849;0,16378;15,16;33,518;0,15776;19,52;6,71;1440;755,24;1,5273;0;0,016001;0;0,016001;0,16849;-0,0016849;0,0030166;-0,012061;0;0;0;0,15776;0,16849;-0,0016849;0,0030166;-0,012061;0;0;0;0,15776;7,3936;0;0;-5,8033;1,5903;-0,018284;0;0,025832;0;0;0;-0,0079894;1,5899;0;0;0;0;0;0;1,5899;7,3936;0;0;-5,8033;1,5903;0;-0,018284;0,025832;0;0;0;-0,0079894;1,5899;0;0;0;0;0;0;1,5899;1,5899;0;-0,04659;0;0;1,5433;1,5433;1,5899;0;-0,04659;0;0;1,5433;1,5433;
08.10. 13:00;0,1238;0,12142;14,61;31,561;0,1148;17,84;4,7143;1440;748,22;0,92128;0;0,16302;0;0,16302;0,1238;-0,001238;0,0022165;-0,0099785;0;0;0;0,1148;0,1238;-0,001238;0,0022165;-0,0099785;0;0;0;0,1148;5,3802;0;0;-4,223;1,1573;-0,031794;0;0,024186;0;0;0;-0,0057483;1,1439;0;-0,020722;0;0;0;0;1,1232;5,3802;0;0;-4,223;1,1573;0;-0,031794;0,024186;0;0;0;-0,0057483;1,1439;0;-0,020722;0;0;0;0;1,1232;1,1232;0;-0,038884;0;0;1,0843;1,0843;1,1232;0;-0,038884;0;0;1,0843;1,0843;
08.10. 14:00;0,12814;0,12493;14,39;26,986;0,11967;17,64;5,0249;1440;750,28;1,1395;0;0,016209;0;0,016209;0,12814;-0,0012814;0,0022942;-0,0094788;0;0;0;0,11967;0,12814;-0,0012814;0,0022942;-0,0094788;0;0;0;0,11967;5,6086;0;0;-4,4022;1,2064;-0,03022;0;0,025983;0;0;0;-0,0060108;1,1961;0;0;0;0;0;0;1,1961;5,6086;0;0;-4,4022;1,2064;0;-0,03022;0,025983;0;0;0;-0,0060108;1,1961;0;0;0;0;0;0;1,1961;1,1961;0;-0,040416;0;0;1,1557;1,1557;1,1961;0;-0,040416;0;0;1,1557;1,1557;
08.10. 15:00;0,18727;0,15186;14,51;20,368;0,21451;20,11;9,2747;1440;763,21;2,1171;0;0,016125;0;0,016125;0,18727;-0,0018727;0,0033529;0,025757;0;0;0;0,21451;0,18727;-0,0018727;0,0033529;0,025757;0;0;0;0,21451;10,053;0;0;-7,8907;2,1624;0,0017268;0;0,031716;0;0;0;-0,010979;2,1848;0;0;0;0;0;0;2,1848;10,053;0;0;-7,8907;2,1624;0;0,0017268;0,031716;0;0;0;-0,010979;2,1848;0;0;0;0;0;0;2,1848;2,1848;0;-0,051652;0;0;2,1332;2,1332;2,1848;0;-0,051652;0;0;2,1332;2,1332;
08.10. 16:00;0,08905;0,079207;14,02;12,324;0,094879;16,83;3,8209;1440;743,8;0,8627;0;0,016099;0;0,016099;0,08905;-0,0008905;0,0015943;0,0051247;0;0;0;0,094879;0,08905;-0,0008905;0,0015943;0,0051247;0;0;0;0,094879;4,4466;0;0;-3,4901;0,95644;-0,037148;0;0,022533;0;0;0;-0,0047091;0,93712;0;-0,019931;0;0;0;0;0,91718;4,4466;0;0;-3,4901;0,95644;0;-0,037148;0,022533;0;0;0;-0,0047091;0,93712;0;-0,019931;0;0;0;0;0,91718;0,91718;0;-0,038388;0;0;0,8788;0,8788;0,91718;0;-0,038388;0;0;0,8788;0,8788;
08.10. 17:00;0,01229;0,012167;13,19;3,3896;0,011287;13,73;0,048034;1440;612,91;0;1,1937;1,2048;0;0,011048;0,01229;-0,0001229;0,00022004;-0,0011002;0;0;0;0,011287;0,01229;-0,0001229;0,00022004;-0,0011002;0;0;0;0,011287;0,52897;0;0;-0,41519;0,11378;-0,034815;0;0,0026702;0;0;0;-0,00040818;0,081228;0;-0,0034717;0;0;0;0;0,077756;0,52897;0;0;-0,41519;0,11378;0;-0,034815;0,0026702;0;0;0;-0,00040818;0,081228;0;-0,0034717;0;0;0;0;0,077756;0,077756;0;-0,066708;0;0;0,011048;0,011048;0,077756;0;-0,066708;0;0;0,011048;0,011048;
08.10. 18:00;0;0;12,6;-5,9923;0;12,68;-0,01087;0;0;0;0,57103;0,56853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 19:00;0;0;12,01;-15,425;0;12,06;-0,01087;0;0;0;1,4181;1,4156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 20:00;0;0;11,42;-24,493;0;11,46;-0,01087;0;0;0;0,59511;0,59261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 21:00;0;0;10,83;-32,692;0;10,87;-0,01087;0;0;0;1,1617;1,1592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 22:00;0;0;10,24;-39,347;0;10,28;-0,01087;0;0;0;0,51124;0,50874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
08.10. 23:00;0;0;9,65;-43,62;0;9,69;-0,01087;0;0;0;0,58282;0,58032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 00:00;0;0;9,37;-45,118;0;9,39;-0,01087;0;0;0;0,018706;0,016206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 01:00;0;0;9,1;-42,811;0;9,12;-0,01087;0;0;0;0,018665;0,016165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 02:00;0;0;8,83;-37,577;0;8,85;-0,01087;0;0;0;0,01859;0,01609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 03:00;0;0;8,71;-30,266;0;8,72;-0,01087;0;0;0;0,018687;0,016187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 04:00;0;0;8,58;-21,678;0;8,59;-0,01087;0;0;0;0,17018;0,16768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 05:00;0;0;8,51;-12,421;0;8,51;-0,01087;0;0;0;0,018758;0,016258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 06:00;0,00018;0,0001782;8,53;-2,9619;0,00016531;8,53;-0,01087;0;0;0;0,20268;0,20018;0;0;0,00018;-1,8E-06;3,2222E-06;-1,6114E-05;0;0;0;0,00016531;0,00018;-1,8E-06;3,2222E-06;-1,6114E-05;0;0;0;0,00016531;0,0077474;0;0;-0,0060809;0,0016664;-0,0016664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0077474;0;0;-0,0060809;0,0016664;0;-0,0016664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0025;0;-0,0025;0;0;0;0;-0,0025;0;-0,0025;0;
09.10. 07:00;0,04772;0,039699;9,58;6,3013;0,060022;11,01;2,3098;1440;740,04;0,22916;0;0,30209;0;0,30209;0,04772;-0,0004772;0,00085438;0,011924;0;0;0;0,060022;0,04772;-0,0004772;0,00085438;0,011924;0;0;0;0,060022;2,813;0;0;-2,2079;0,60506;-0,04299;0;0,023584;0;0;0;-0,0029283;0,58272;0;-0,016344;0;0;0;0;0,56638;2,813;0;0;-2,2079;0,60506;0;-0,04299;0,023584;0;0;0;-0,0029283;0,58272;0;-0,016344;0;0;0;0;0,56638;0,56638;0;-0,035131;0;0;0,53125;0,53125;0,56638;0;-0,035131;0;0;0,53125;0,53125;
09.10. 08:00;0,14801;0,10999;11,4;14,963;0,18859;16,11;8,2046;1440;770,6;1,8708;0;0,016266;0;0,016266;0,14801;-0,0014801;0,00265;0,039411;0;0;0;0,18859;0,14801;-0,0014801;0,00265;0,039411;0;0;0;0,18859;8,8385;0;0;-6,9374;1,9011;-0,0057978;0;0,050561;0;0;0;-0,0097294;1,9362;0;0;0;0;0;0;1,9362;8,8385;0;0;-6,9374;1,9011;0;-0,0057978;0,050561;0;0;0;-0,0097294;1,9362;0;0;0;0;0;0;1,9362;1,9362;0;-0,049101;0;0;1,8871;1,8871;1,9362;0;-0,049101;0;0;1,8871;1,8871;
09.10. 09:00;0,30765;0,13861;14,05;22,551;0,47899;26,22;20,704;1440;760,25;4,5948;0;0,16713;0;0,16713;0,30765;-0,0030765;0,0055082;0,16891;0;0;0;0,47899;0,30765;-0,0030765;0,0055082;0,16891;0;0;0;0,47899;22,448;0;0;-17,62;4,8285;0,07356;0;-0,017942;0;0;0;-0,024421;4,8597;0;0;0;0;0;0;4,8597;22,448;0;0;-17,62;4,8285;0;0,07356;-0,017942;0;0;0;-0,024421;4,8597;0;0;0;0;0;0;4,8597;4,8597;0;-0,097805;0;0;4,7619;4,7619;4,8597;0;-0,097805;0;0;4,7619;4,7619;
09.10. 10:00;0,36386;0,20392;16,14;28,5;0,51561;29,79;22,04;1440;750,84;5,053;0;0,016176;0;0,016176;0,36386;-0,0036386;0,0065145;0,14887;0;0;0;0,51561;0,36386;-0,0036386;0,0065145;0,14887;0;0;0;0,51561;24,164;0;0;-18,967;5,1977;0,0772;0;-0,075832;0;0;0;-0,025995;5,173;0;0;0;0;0;0;5,173;24,164;0;0;-18,967;5,1977;0;0,0772;-0,075832;0;0;0;-0,025995;5,173;0;0;0;0;0;0;5,173;5,173;0;-0,10386;0;0;5,0692;5,0692;5,173;0;-0,10386;0;0;5,0692;5,0692;
09.10. 11:00;0,34088;0,25302;17,31;32,194;0,41126;28,51;17,63;1440;752,81;4,0387;0;0,016189;0;0,016189;0,34088;-0,0034088;0,0061031;0,067682;0;0;0;0,41126;0,34088;-0,0034088;0,0061031;0,067682;0;0;0;0,41126;19,274;0;0;-15,128;4,1457;0,058448;0;-0,044277;0;0;0;-0,0208;4,1391;0;0;0;0;0;0;4,1391;19,274;0;0;-15,128;4,1457;0;0,058448;-0,044277;0;0;0;-0,0208;4,1391;0;0;0;0;0;0;4,1391;4,1391;0;-0,084221;0;0;4,0549;4,0549;4,1391;0;-0,084221;0;0;4,0549;4,0549;
09.10. 12:00;0,46526;0,20552;18,89;33,133;0,70232;37,2;29,112;1440;730,22;6,6795;0;0,016223;0;0,016223;0,46526;-0,0046526;0,00833;0,23339;0;0;0;0,70232;0,46526;-0,0046526;0,00833;0,23339;0;0;0;0,70232;32,915;0;0;-25,835;7,0799;0,078977;0;-0,26196;0;0;0;-0,034485;6,8624;0;-0,023364;0;0;0;0;6,8391;32,915;0;0;-25,835;7,0799;0;0,078977;-0,26196;0;0;0;-0,034485;6,8624;0;-0,023364;0;0;0;0;6,8391;6,8391;0;-0,14337;0;0;6,6957;6,6957;6,8391;0;-0,14337;0;0;6,6957;6,6957;
09.10. 13:00;0,45587;0,17279;20,03;31,172;0,71406;39,16;29,404;1440;724,88;6,7466;0;0,016338;0;0,016338;0,45587;-0,0045587;0,0081619;0,25458;0;0;0;0,71406;0,45587;-0,0045587;0,0081619;0,25458;0;0;0;0,71406;33,465;0;0;-26,267;7,1982;0,077196;0;-0,30909;0;0;0;-0,034831;6,9315;0;-0,023415;0;0;0;0;6,908;33,465;0;0;-26,267;7,1982;0;0,077196;-0,30909;0;0;0;-0,034831;6,9315;0;-0,023415;0;0;0;0;6,908;6,908;0;-0,14507;0;0;6,763;6,763;6,908;0;-0,14507;0;0;6,763;6,763;
09.10. 14:00;0,30963;0,20299;20,25;26,606;0,40908;31,85;17,27;1440;743,66;3,8088;0;0,16339;0;0,16339;0,30963;-0,0030963;0,0055436;0,096999;0;0;0;0,40908;0,30963;-0,0030963;0,0055436;0,096999;0;0;0;0,40908;19,172;0;0;-15,048;4,1238;0,056019;0;-0,085854;0;0;0;-0,02047;4,0735;0;-0,018675;0;0;0;0;4,0548;19,172;0;0;-15,048;4,1238;0;0,056019;-0,085854;0;0;0;-0,02047;4,0735;0;-0,018675;0;0;0;0;4,0548;4,0548;0;-0,08261;0;0;3,9722;3,9722;4,0548;0;-0,08261;0;0;3,9722;3,9722;
09.10. 15:00;0,2362;0,14551;20,02;20,002;0,33094;29,16;14,04;1440;748,06;3,2131;0;0,016188;0;0,016188;0,2362;-0,002362;0,0042289;0,092878;0;0;0;0,33094;0,2362;-0,002362;0,0042289;0,092878;0;0;0;0,33094;15,51;0;0;-12,174;3,3361;0,036198;0;-0,042069;0;0;0;-0,016651;3,3136;0;-0,016395;0;0;0;0;3,2972;15,51;0;0;-12,174;3,3361;0;0,036198;-0,042069;0;0;0;-0,016651;3,3136;0;-0,016395;0;0;0;0;3,2972;3,2972;0;-0,067946;0;0;3,2293;3,2293;3,2972;0;-0,067946;0;0;3,2293;3,2293;
