Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last ;Außentemperatur
11.01. 23:00;0,16793;0;0;0,51;-0,22
12.01. 00:00;0,016178;0;0;0,42;-1,2
12.01. 01:00;0,016093;0;0;0,31;-2,31
12.01. 02:00;0,016126;0;0;0,25;-3,42
12.01. 03:00;0,016167;0;0;0,27;-4,04
12.01. 04:00;0,16533;0;0;0,53;-4,66
12.01. 05:00;0,016083;0;0;0,98;-5,28
12.01. 06:00;0,19693;0;0;1,77;-5,74
12.01. 07:00;0,18368;0;0;1,81;-6,2
12.01. 08:00;0,17363;0;0;1,5;-6,31
12.01. 09:00;3,6074;0,5798;0;1,38;-5,84
12.01. 10:00;1,8981;1,1623;0;1,07;-5,3
12.01. 11:00;1,3513;1,5509;0,19964;1,12;-4,85
12.01. 12:00;1,0028;1,9025;0,89963;1,18;-4,5
12.01. 13:00;1,2927;2,0801;0,78744;1,1;-4,3
12.01. 14:00;0,24405;1,6791;1,4351;0,93;-4,33
12.01. 15:00;0,33292;0,91992;0,587;0,89;-4,66
12.01. 16:00;2,0106;0,0012046;0;1,29;-5,26
12.01. 17:00;1,0702;0;0;1,32;-5,63
12.01. 18:00;0,32555;0;0;1,67;-6,01
12.01. 19:00;0,69688;0;0;1,73;-6,38
12.01. 20:00;1,6902;0;0;2,06;-6,75
12.01. 21:00;0,50113;0;0;1,9;-7,12
12.01. 22:00;0,17711;0;0;1,47;-7,49
12.01. 23:00;0,016232;0;0;1,16;-7,87
13.01. 00:00;0,16673;0;0;1,34;-7,74
13.01. 01:00;0,016221;0;0;1,47;-7,54
13.01. 02:00;0,016327;0;0;1,31;-7,34
13.01. 03:00;0,01621;0;0;1,22;-7,21
13.01. 04:00;0,016164;0;0;1,4;-7,08
13.01. 05:00;0,16545;0;0;2,1;-6,95
13.01. 06:00;0,30857;0;0;2,61;-6,84
13.01. 07:00;0,3724;0;0;2,52;-6,73
13.01. 08:00;0,29967;0;0;2,54;-6,63
13.01. 09:00;0,34382;1,0338;0,68995;2,67;-5,02
13.01. 10:00;0,46812;2,1443;1,6762;2,74;-3,12
13.01. 11:00;0,082063;3,5268;3,4447;2,7;-1,2
13.01. 12:00;1,1027;3,4778;2,3751;2,47;0,14
13.01. 13:00;1,2721;2,8884;1,6164;2,43;0,85
13.01. 14:00;0,49165;1,8588;1,3671;2,15;0,94
13.01. 15:00;0,65793;0,57144;0;1,95;0,13
13.01. 16:00;0,93553;0;0;2,5;-1,04
13.01. 17:00;0,32659;0;0;2,43;-1,15
13.01. 18:00;1,1973;0;0;2,37;-1,25
13.01. 19:00;0,48855;0;0;2,76;-1,36
13.01. 20:00;0,52106;0;0;3,02;-1,47
13.01. 21:00;1,1735;0;0;2,9;-1,57
13.01. 22:00;0,34292;0;0;1,88;-1,68
13.01. 23:00;0,22143;0;0;1,38;-1,78
14.01. 00:00;0,01627;0;0;1,46;-2,15
14.01. 01:00;0,1698;0;0;1,36;-2,55
14.01. 02:00;0,016046;0;0;1,27;-3,26
14.01. 03:00;0,016082;0;0;1,43;-3,07
14.01. 04:00;0,016111;0;0;1,71;-3,32
14.01. 05:00;0,016301;0;0;2,57;-3,44
14.01. 06:00;0,34514;0;0;3,61;-3,69
14.01. 07:00;0,067945;0;0;3,14;-3,68
14.01. 08:00;0,20444;0;0;2,97;-3,66
14.01. 09:00;0,015988;0,20075;0,18476;3,61;-3,05
14.01. 10:00;0,016111;1,1971;1,181;3,48;-2,09
14.01. 11:00;0,16601;1,8539;1,6878;3,11;-1,19
14.01. 12:00;0,016324;1,0835;1,0672;2,93;-0,89
14.01. 13:00;0,016112;0,59404;0,57792;2,74;-0,97
14.01. 14:00;0,016059;0,1236;0,10754;2,39;-1,36
14.01. 15:00;0,016219;0,1738;0,15758;2,58;-1,62
14.01. 16:00;0,16005;0,00074315;0;2,84;-2,04
14.01. 17:00;0,49093;0;0;3,11;-2,43
14.01. 18:00;1,1143;0;0;3,23;-2,82
14.01. 19:00;0,78086;0;0;3,55;-3,21
14.01. 20:00;0,20666;0;0;4,11;-3,59
14.01. 21:00;1,2411;0;0;3,87;-3,98
14.01. 22:00;0,20299;0;0;2,48;-4,37
14.01. 23:00;0,016141;0;0;2,04;-4,76
15.01. 00:00;0,016256;0;0;2,04;-5,25
15.01. 01:00;0,016087;0;0;1,93;-5,86
15.01. 02:00;0,16586;0;0;1,63;-6,56
15.01. 03:00;0,016306;0;0;1,7;-6,72
15.01. 04:00;0,01607;0;0;2,24;-7,05
15.01. 05:00;0,016226;0;0;3,22;-7,38
15.01. 06:00;0,18771;0;0;4,81;-7,63
15.01. 07:00;0,51028;0;0;4,58;-7,87
15.01. 08:00;0,050071;0;0;3,87;-7,93
15.01. 09:00;0,016163;0,061379;0,045216;3,69;-7,58
15.01. 10:00;0,016085;0,36845;0,35236;3,2;-7,18
15.01. 11:00;0,016097;0,60097;0,58487;2,96;-6,84
15.01. 12:00;0,16817;0,67802;0,50986;2,4;-6,6
15.01. 13:00;0,016252;0,66909;0,65283;2,69;-6,51
15.01. 14:00;0,016332;0,50096;0,48462;2,48;-6,52
15.01. 15:00;0,016352;0,1212;0,10485;2,57;-6,82
15.01. 16:00;0,016206;0,00013251;0;3,01;-7,17
15.01. 17:00;1,595;0;0;3,35;-7,03
15.01. 18:00;4,625;0;0;3,67;-6,98
15.01. 19:00;2,3492;0;0;4,58;-7,1
15.01. 20:00;1,3543;0;0;4,23;-6,37
15.01. 21:00;0,49956;0;0;4,75;-6,07
15.01. 22:00;0,5508;0;0;2,97;-5,8
15.01. 23:00;0,016277;0;0;2,74;-5,57
16.01. 00:00;0,016388;0;0;2,76;-5,36
16.01. 01:00;0,016205;0;0;2,49;-5,06
16.01. 02:00;0,016088;0;0;2,57;-4,77
16.01. 03:00;0,16205;0;0;2,5;-4,48
16.01. 04:00;0,015995;0;0;2,8;-4,72
16.01. 05:00;0,016158;0;0;4,14;-4,24
16.01. 06:00;0,1855;0;0;6,41;-3,92
16.01. 07:00;0,36504;0;0;6,21;-3,76
16.01. 08:00;0,3553;0;0;4,93;-3,62
16.01. 09:00;0,016305;0,0035565;0;4,28;-3,31
16.01. 10:00;0,016036;0,023724;0,0076883;3,85;-2,96
16.01. 11:00;0,01606;0,05208;0,03602;3,44;-2,64
16.01. 12:00;0,015969;0,067834;0,051865;3,01;-2,37
16.01. 13:00;0,16408;3,4773;3,3132;2,74;-0,12
16.01. 14:00;0,016131;2,8901;2,874;2,83;1,11
16.01. 15:00;0,016168;1,6998;1,6836;3,19;1,44
16.01. 16:00;0,01615;0,0032588;0;3,64;0,77
16.01. 17:00;1,2769;0;0;4,17;0,76
16.01. 18:00;1,3219;0;0;4,58;0,75
16.01. 19:00;0,99193;0;0;5,05;0,74
16.01. 20:00;0,40411;0;0;5,26;0,73
16.01. 21:00;1,133;0;0;5,11;0,73
16.01. 22:00;0,33475;0;0;3,04;0,72
16.01. 23:00;0,37372;0;0;2,56;0,71
17.01. 00:00;0,016202;0;0;2,42;0,38
17.01. 01:00;0,016146;0;0;2,19;0,04
17.01. 02:00;0,01624;0;0;2,6;-0,31
17.01. 03:00;0,016295;0;0;2,59;-0,49
17.01. 04:00;0,16461;0;0;2,94;-0,67
17.01. 05:00;0,016117;0;0;3,74;-0,86
17.01. 06:00;0,02146;0;0;5,6;-0,99
17.01. 07:00;0,20188;0;0;5,81;-1,12
17.01. 08:00;0,016232;0;0;4,84;-1,09
17.01. 09:00;0,16688;0,045201;0;4,22;-0,64
17.01. 10:00;0,016117;0,52734;0,51122;3,71;0,06
17.01. 11:00;0,016243;0,50328;0,48704;3,49;0,52
17.01. 12:00;0,015931;0,55959;0,54366;3,14;0,79
17.01. 13:00;0,015939;5,3909;5,3749;3,13;2,44
17.01. 14:00;0,16751;2,9141;2,7466;2,95;3,02
17.01. 15:00;0,016181;2,0055;1,9893;3,06;3,06
17.01. 16:00;0,016113;0,00020631;0;3,67;2,24
17.01. 17:00;1,5519;0;0;3,81;2,1
17.01. 18:00;0,51708;0;0;4,19;1,96
17.01. 19:00;0,47979;0;0;4,82;1,82
17.01. 20:00;0,89803;0;0;5,19;1,68
17.01. 21:00;1,1935;0;0;4,13;1,54
17.01. 22:00;0,61992;0;0;2,71;1,4
17.01. 23:00;0,48891;0;0;2,31;1,26
18.01. 00:00;0,1652;0;0;2,1;1,2
18.01. 01:00;0,016056;0;0;2,1;1,17
18.01. 02:00;0,016414;0;0;2,01;1,14
18.01. 03:00;0,016144;0;0;2,07;1,14
18.01. 04:00;0,01609;0;0;2,35;1,14
18.01. 05:00;0,16714;0;0;3,2;1,14
18.01. 06:00;0,016221;0;0;4,83;1,15
18.01. 07:00;0,15667;0;0;4,57;1,16
18.01. 08:00;0,061452;0;0;4,02;1,24
18.01. 09:00;0,016194;0,0047933;0;3,62;1,48
18.01. 10:00;0,16701;0,22263;0,055618;2,95;2,22
18.01. 11:00;0,016246;1,3292;1,3129;2,89;3,78
18.01. 12:00;0,016048;1,3017;1,2857;2,8;4,78
18.01. 13:00;0,016114;2,1883;2,1722;2,63;5,75
18.01. 14:00;0,016067;2,3618;2,3457;2,75;6,45
18.01. 15:00;0,1674;2,2537;2,0863;2,43;6,6
18.01. 16:00;0,016018;0,0076639;0;2,73;5,76
18.01. 17:00;1,0795;0;0;3,04;5,61
18.01. 18:00;1,0868;0;0;3,42;5,46
18.01. 19:00;1,6599;0;0;3,51;5,31
18.01. 20:00;1,3424;0;0;3,7;5,16
18.01. 21:00;0,65379;0;0;3,65;5,01
18.01. 22:00;0,40472;0;0;1,74;4,86
18.01. 23:00;0,079009;0;0;1,44;4,72
19.01. 00:00;0,01603;0;0;1,06;4,46
19.01. 01:00;0,16632;0;0;1;4,23
19.01. 02:00;0,016095;0;0;0,86;3,98
19.01. 03:00;0,016139;0;0;0,85;3,91
19.01. 04:00;0,016233;0;0;0,85;3,81
19.01. 05:00;0,016018;0;0;1,2;3,72
19.01. 06:00;0,16422;0;0;2,22;3,66
19.01. 07:00;0,21033;0;0;1,98;3,61
19.01. 08:00;3,293;0;0;1,6;3,71
19.01. 09:00;2,0351;0,76923;0;1,34;4,97
19.01. 10:00;1,5787;0,37292;0;1,12;5,38
19.01. 11:00;1,4162;1,4793;0,063024;1,37;6,53
19.01. 12:00;0,30688;2,7325;2,4256;1,43;7,71
19.01. 13:00;0,94579;3,6237;2,6779;1,46;8,68
19.01. 14:00;1,1246;0,84297;0;1,35;8,51
19.01. 15:00;0,40929;0,22699;0;1,18;7,94
19.01. 16:00;1,0792;0,00025475;0;1,5;7,18
19.01. 17:00;0,90153;0;0;1,55;6,85
19.01. 18:00;0,6798;0;0;1,89;6,47
19.01. 19:00;0,48061;0;0;2,07;6,09
19.01. 20:00;1,2305;0;0;2,02;5,71
19.01. 21:00;1,3708;0;0;1,99;5,34
19.01. 22:00;0,208;0;0;1,26;4,96
19.01. 23:00;0,016103;0;0;1,05;4,58
20.01. 00:00;0,016119;0;0;1,05;4,08
20.01. 01:00;0,016248;0;0;1,23;3,54
20.01. 02:00;0,16451;0;0;1,33;3,01
20.01. 03:00;0,016132;0;0;1,09;2,72
20.01. 04:00;0,016219;0;0;1,35;2,43
20.01. 05:00;0,016193;0;0;2,28;2,14
20.01. 06:00;0,20656;0;0;2,7;1,93
20.01. 07:00;0,51504;0;0;2,65;1,72
