Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
12.01. 02:00;0,016126;0;0;2,8
12.01. 03:00;0,016167;0;0;2,9
12.01. 04:00;0,16533;0;0;3,1
12.01. 05:00;0,016083;0;0;4,4
12.01. 06:00;0,19693;0;0;6,3
12.01. 07:00;0,18368;0;0;6,2
12.01. 08:00;0,17363;0;0;5,5
12.01. 09:00;3,6074;0,5798;0;5
12.01. 10:00;1,8981;1,1623;0;4,4
12.01. 11:00;1,3513;1,5509;0,19964;4,4
12.01. 12:00;1,0028;1,9025;0,89963;4
12.01. 13:00;1,2927;2,0801;0,78744;4,4
12.01. 14:00;0,24405;1,6791;1,4351;4,4
12.01. 15:00;0,33292;0,91992;0,587;4,3
12.01. 16:00;2,0106;0,0012046;0;4,9
12.01. 17:00;1,0702;0;0;4,9
12.01. 18:00;0,32555;0;0;5,7
12.01. 19:00;0,69688;0;0;5,8
12.01. 20:00;1,6902;0;0;6,3
12.01. 21:00;0,50113;0;0;5,8
12.01. 22:00;0,17711;0;0;3,9
12.01. 23:00;0,016232;0;0;3,3
13.01. 00:00;0,16673;0;0;3,9
13.01. 01:00;0,016221;0;0;4
13.01. 02:00;0,016327;0;0;4,1
13.01. 03:00;0,01621;0;0;4
13.01. 04:00;0,016164;0;0;4,4
13.01. 05:00;0,16545;0;0;6,4
13.01. 06:00;0,30857;0;0;8
13.01. 07:00;0,3724;0;0;7,8
13.01. 08:00;0,29967;0;0;7,1
13.01. 09:00;0,34382;1,0338;0,68995;7
13.01. 10:00;0,46812;2,1443;1,6762;6,7
13.01. 11:00;0,082063;3,5268;3,4447;6,9
13.01. 12:00;1,1027;3,4778;2,3751;6,2
13.01. 13:00;1,2721;2,8884;1,6164;6,7
13.01. 14:00;0,49165;1,8588;1,3671;6,1
13.01. 15:00;0,65793;0,57144;0;5,8
13.01. 16:00;0,93553;0;0;6,9
13.01. 17:00;0,32659;0;0;6,7
13.01. 18:00;1,1973;0;0;6,5
13.01. 19:00;0,48855;0;0;7,7
13.01. 20:00;0,52106;0;0;8
13.01. 21:00;1,1735;0;0;8,2
13.01. 22:00;0,34292;0;0;4,8
13.01. 23:00;0,22143;0;0;3,9
14.01. 00:00;0,01627;0;0;4,1
14.01. 01:00;0,1698;0;0;4,1
14.01. 02:00;0,016046;0;0;3,9
14.01. 03:00;0,016082;0;0;4,3
14.01. 04:00;0,016111;0;0;5
14.01. 05:00;0,016301;0;0;7
14.01. 06:00;0,34514;0;0;10,1
14.01. 07:00;0,067945;0;0;9,1
14.01. 08:00;0,20444;0;0;7,8
14.01. 09:00;0,015988;0,20075;0,18476;8,9
14.01. 10:00;0,016111;1,1971;1,181;8,5
14.01. 11:00;0,16601;1,8539;1,6878;7,7
14.01. 12:00;0,016324;1,0835;1,0672;7,8
14.01. 13:00;0,016112;0,59404;0,57792;7,3
14.01. 14:00;0,016059;0,1236;0,10754;6,5
14.01. 15:00;0,016219;0,1738;0,15758;7,2
14.01. 16:00;0,16005;0,00074315;0;7,8
14.01. 17:00;0,49093;0;0;8,4
14.01. 18:00;1,1143;0;0;8,5
14.01. 19:00;0,78086;0;0;9,1
14.01. 20:00;0,20666;0;0;10,7
14.01. 21:00;1,2411;0;0;9,9
14.01. 22:00;0,20299;0;0;6,2
14.01. 23:00;0,016141;0;0;5,6
15.01. 00:00;0,016256;0;0;5,5
15.01. 01:00;0,016087;0;0;5,4
15.01. 02:00;0,16586;0;0;5,1
15.01. 03:00;0,016306;0;0;5,3
15.01. 04:00;0,01607;0;0;7,1
15.01. 05:00;0,016226;0;0;9,8
15.01. 06:00;0,18771;0;0;12,9
15.01. 07:00;0,51028;0;0;12,6
15.01. 08:00;0,050071;0;0;10,7
15.01. 09:00;0,016163;0,061379;0,045216;10,5
15.01. 10:00;0,016085;0,36845;0,35236;9,9
15.01. 11:00;0,016097;0,60097;0,58487;10,2
15.01. 12:00;0,16817;0,67802;0,50986;8,2
15.01. 13:00;0,016252;0,66909;0,65283;8,9
15.01. 14:00;0,016332;0,50096;0,48462;7,8
15.01. 15:00;0,016352;0,1212;0,10485;8,7
15.01. 16:00;0,016206;0,00013251;0;9,5
15.01. 17:00;1,595;0;0;10,1
15.01. 18:00;4,625;0;0;10,5
15.01. 19:00;2,3492;0;0;12,2
15.01. 20:00;1,3543;0;0;11,7
15.01. 21:00;0,49956;0;0;12,7
15.01. 22:00;0,5508;0;0;7,5
